"","qseqid","kingdom","phylum","class","order","family","genus","species","assignment","species_hypothesis","Confidence.x","taxon","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource","assignment.1","Kingdom","Phylum","Class","Order","Family","Genus","Species","n_100_hits","Match_Type","matched_sseqids"
"361","ASV361","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phlebiopsis","Phlebiopsis_flavidoalba","Phlebiopsis_flavidoalba","sSH1216930.09FU","0.9934137","Phlebiopsis","1CB1C9FB-36B9-11D5-9548-00D0592D548C","25478","13","Saprotroph","Undefined Saprotroph-|Wood Saprotroph|","Probable","Corticioid","White Rot","As white_rot (Põlme et al. 2020); Decay wood (Põlme et al. 2020)","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Phlebiopsis_flavidoalba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","ASV362","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,"Agaricomycetes","sSH0919881.09FU","1.0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agaricomycetes","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,2,"Multiple 100% matches","ASV2716;ASV5970"
"363","ASV363","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Thermoascaceae","Byssochlamys",NA,"Byssochlamys","sSH1126442.09FU","0.9598024","Eurotiales","1CB1CE25-36B9-11D5-9548-00D0592D548C","90472","7","Saprotroph","Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))","Byssochlamys","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae",NA,NA,3,"Multiple 100% matches","ASV177;ASV7430;ASV8033"
"364","ASV364","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,"Agaricomycetes","sSH1112177.09FU","0.9771364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agaricomycetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","ASV365","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meripilaceae","Rigidoporus","Rigidoporus_pouzarii","Rigidoporus_pouzarii","sSH1197608.09FU","0.9999937","Meripilaceae","1CB1CD64-36B9-11D5-9548-00D0592D548C","80007","9","Pathotroph-Saprotroph","Plant Pathogen-Undefined Saprotroph","Probable","Polyporoid","NULL","Saprobic or parasitic on hardwood trees, often growing from buried roots and causing white rot (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Rigidoporus_pouzarii","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meripilaceae","Rigidoporus","Rigidoporus_pouzarii",4,"Multiple 100% matches","ASV151;ASV2430;ASV701;ASV8103"
"366","ASV366","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","Talaromyces_siglerae","Talaromyces_siglerae","sSH1286620.09FU","0.9995546","Eurotiales","1CB1CE25-36B9-11D5-9548-00D0592D548C","90472","7","Saprotroph","Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))","Talaromyces_siglerae","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","Talaromyces_siglerae",2,"Multiple 100% matches","ASV1039;ASV1539"
"367","ASV367","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_pullulans","Aureobasidium_pullulans","sSH1240491.09FU","0.9127887","Aureobasidium pullulans","FE27878E-8260-43C1-A33B-204ACC27101A","101771","20","Pathotroph-Symbiotroph","Animal Pathogen-Endophyte-Epiphyte-Plant Pathogen","Possible","NULL","NULL","Pathogen Host - Asteraceae; Epiphyte detection method-culture (Wachowska & Glowacka 2014)","Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Wachowska U, Głowacka K. 2014. BioControl 59:635-645 ((https://doi.org/10.1007/s10526-014-9596-5)); Irinyia L, et al. 2016. Fungal Biology 120:125-136 ((https://doi.org/10.1016/j.funbio.2015.04.007)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))","Aureobasidium_pullulans","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_pullulans",3,"Multiple 100% matches","ASV1003;ASV3036;ASV6411"
"368","ASV368","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"Sordariomycetes",NA,"1.0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sordariomycetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","ASV369","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae",NA,NA,"Venturiaceae","sSH1025610.09FU","0.7985418","Venturiaceae","1CB1CDFC-36B9-11D5-9548-00D0592D548C","81516","9","Pathotroph-Saprotroph-Symbiotroph","Endophyte-Plant Pathogen-Undefined Saprotroph","Probable","Microfungus","NULL","Mostly endophytes and weak parasites of aerial plant parts, including bark and wood, leaf and fruit tissue; rarely biotrophic. Little is known except for the important pathogens (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Venturiaceae","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae",NA,NA,1,"Unique 100% match","ASV544"
"370","ASV370","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Zasmidium","Zasmidium_angulare","Zasmidium_angulare","sSH2784122.09FU","0.9478288","Mycosphaerellaceae","1CB1CD75-36B9-11D5-9548-00D0592D548C","81043","9","Pathotroph-Saprotroph","Plant Pathogen-Undefined Saprotroph","Probable","Microfungus","NULL","Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Zasmidium_angulare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
